variant,configuration,concurrency,latency_p50_ms,throughput_tokens_s,tpot_p99_ms,interactivity_tokens_s,pareto_optimal
vllm_baseline,vLLM baseline,1,650.0235445,391.77228096183956,2.4629016354901956,406.0251475698778,False
vllm_baseline,vLLM baseline,2,704.5703105,723.6467511648056,2.5598864944313724,390.64232034324243,False
vllm_baseline,vLLM baseline,4,713.5693299999999,1428.5088315655344,2.59801351827451,384.90946754740423,False
vllm_baseline,vLLM baseline,8,744.5491354999999,2734.798719108072,2.6948374500784316,371.07989573578755,False
vllm_baseline,vLLM baseline,16,799.2659165,5087.292944151942,2.929191475843137,341.39113412248355,False
vllm_baseline,vLLM baseline,32,909.162256,8959.660804528743,3.20849889827451,311.672227949895,True
vllm_dflash,vLLM + DFlash,1,462.33714499999996,531.877049906657,2.561038531294118,390.46659696083924,False
vllm_dflash,vLLM + DFlash,2,530.8830585,927.7992969368152,2.7895093638431367,358.4859807110629,False
vllm_dflash,vLLM + DFlash,4,611.563035,1567.2120259171088,3.283987008196075,304.50790380845916,False
vllm_dflash,vLLM + DFlash,8,785.3594515,2464.3774998064614,4.527650647725489,220.86509711219884,False
vllm_dflash,vLLM + DFlash,16,1025.406968,3820.3525599479317,6.226246091215685,160.61042004280114,False
vllm_dflash,vLLM + DFlash,32,1387.4441875,5589.484625330949,8.736278564000001,114.46521452747027,False
sglang_baseline,SGLang baseline,1,614.2471505,414.47861322210724,2.3394130104313726,427.4576552071096,False
sglang_baseline,SGLang baseline,2,629.078433,809.5434621581076,2.3131009197254904,432.32009095334934,False
sglang_baseline,SGLang baseline,4,647.9283125,1565.8231361331036,2.4219538345490195,412.8897858146851,False
sglang_baseline,SGLang baseline,8,683.0920615,2981.7543533284133,2.545580716352941,392.83767101783445,False
sglang_baseline,SGLang baseline,16,725.2119815,5612.936820286507,2.701102770470588,370.2191604600736,True
sglang_baseline,SGLang baseline,32,803.470955,9657.091673829435,3.360131087882353,297.6074366879024,True
sglang_dflash,SGLang + DFlash,1,243.410584,1000.1569398407521,1.3361007586666667,748.4465475477529,True
sglang_dflash,SGLang + DFlash,2,281.52358749999996,1659.2433636310186,1.5356664585098039,651.1830706847569,True
sglang_dflash,SGLang + DFlash,4,333.15426099999996,2855.1884330284975,1.9853988711658976,503.6771273133464,True
sglang_dflash,SGLang + DFlash,8,424.91734449999996,4492.781886605817,2.4965613315633775,400.55094475639726,True
sglang_dflash,SGLang + DFlash,16,620.5526515,6287.363545033412,3.8947378001960784,256.7566935955626,False
sglang_dflash,SGLang + DFlash,32,645.281254,11851.145941987932,3.781478396980392,264.44683666539675,True
pr2_dflash,vLLM + DFlash PR 52297,1,338.50152399999996,718.6255716448579,1.9236721757254904,519.8390934894412,False
pr2_dflash,vLLM + DFlash PR 52297,2,398.651824,1240.3498720777757,1.906441914509804,524.5373553681682,False
pr2_dflash,vLLM + DFlash PR 52297,4,468.54378249999996,2045.6272191747128,2.618347605607843,381.9202606476891,False
pr2_dflash,vLLM + DFlash PR 52297,8,605.728532,3264.6550274302485,3.626982498470588,275.71128353160685,False
pr2_dflash,vLLM + DFlash PR 52297,16,845.8960599999999,4680.45105906588,5.005783511058823,199.76892684048178,False
pr2_dflash,vLLM + DFlash PR 52297,32,1149.375846,6859.633555797083,7.106142709450983,140.72332077851834,False
