variant,configuration,concurrency,latency_p50_ms,throughput_tokens_s,tpot_p99_ms,interactivity_tokens_s,pareto_optimal
vllm_baseline,vLLM baseline,1,1050.6341945,242.9565069474167,3.9951209000784313,250.30531616211368,False
vllm_baseline,vLLM baseline,2,1182.944906,431.5039457487308,4.412686173450981,226.6193335969644,False
vllm_baseline,vLLM baseline,4,1261.7123765,807.9353291992181,4.751409601372549,210.46385891696815,False
vllm_baseline,vLLM baseline,8,1438.7616065,1306.6671579274964,5.376940570862745,185.97936629966273,False
vllm_baseline,vLLM baseline,16,1761.820058,2313.308236925856,6.496377604,153.93193883684845,False
vllm_baseline,vLLM baseline,32,2078.913246,3932.942175705483,7.8203472415294115,127.8715598061387,False
vllm_dflash,vLLM + DFlash,1,404.9873215,596.6679084104305,2.3599853936470594,423.7314360893676,False
vllm_dflash,vLLM + DFlash,2,492.23065549999995,1011.5770866299783,2.477631570588235,403.61125999156593,False
vllm_dflash,vLLM + DFlash,4,616.470014,1584.662568245716,3.8129724588235288,262.2625814371983,False
vllm_dflash,vLLM + DFlash,8,785.1265925,2399.3896171664505,4.853097452588234,206.05397063821252,False
vllm_dflash,vLLM + DFlash,16,1109.8275535,3477.6861143826172,6.531640026784314,153.1009051171371,False
vllm_dflash,vLLM + DFlash,32,2497.1672995,3185.809987233465,17.23576858545098,58.01888062271374,False
sglang_baseline,SGLang baseline,1,849.9186109999999,300.1747525234436,3.2302560790588233,309.5729798274578,False
sglang_baseline,SGLang baseline,2,932.3241419999999,547.3897670207713,3.4791392495686275,287.4274147331091,False
sglang_baseline,SGLang baseline,4,1022.994424,998.5517552887006,3.8510351069019606,259.67044502081137,False
sglang_baseline,SGLang baseline,8,1263.7043549999999,1616.833832115906,4.796629260862745,208.4797355841788,False
sglang_baseline,SGLang baseline,16,1500.012336,2725.812771154623,5.719294087019607,174.84675290077837,False
sglang_baseline,SGLang baseline,32,1914.9140765,4121.78800882248,7.399521548509803,135.1438729442434,False
sglang_dflash,SGLang + DFlash,1,307.462567,802.3783619482311,1.818967526980394,549.7624257537274,True
sglang_dflash,SGLang + DFlash,2,392.3514475,1279.9005616455893,1.939393421372549,515.6251377259387,True
sglang_dflash,SGLang + DFlash,4,501.310498,1913.4600547798552,3.0243529052941143,330.6492434297284,True
sglang_dflash,SGLang + DFlash,8,687.2453495,2804.2225082933105,4.697599261333332,212.8746928736887,True
sglang_dflash,SGLang + DFlash,16,951.550481,4081.4130207183507,6.365869632196078,157.0877284294971,False
sglang_dflash,SGLang + DFlash,32,1160.5169065,6710.994620902246,6.958792908470589,143.70308373205793,True
pr2_dflash,vLLM + DFlash PR 52297,1,344.2732835,708.5437767787779,1.970257641568628,507.547834812023,False
pr2_dflash,vLLM + DFlash PR 52297,2,432.9146305,1128.583279520888,2.305427924980392,433.7589517176101,False
pr2_dflash,vLLM + DFlash PR 52297,4,537.8500174999999,1829.5561223030277,2.8830243681568564,346.85797700673237,True
pr2_dflash,vLLM + DFlash PR 52297,8,688.3639344999999,2764.436649924535,3.958009417921568,252.65225380012373,True
pr2_dflash,vLLM + DFlash PR 52297,16,926.3754409999999,4216.299273538198,6.09215948827451,164.1454072114634,True
pr2_dflash,vLLM + DFlash PR 52297,32,2128.582822,3700.510452569004,14.304355625215694,69.90877647345413,False
