metric,variant,value,block,repetition,model
128K seq equivalents (est.),vllm_baseline,16.29,8,3,27B
Configured request limit,vllm_baseline,32.0,8,3,27B
Reported cache tokens,vllm_dflash,1437032.0,8,3,27B
128K seq equivalents (est.),vllm_dflash,10.96,8,3,27B
Configured request limit,vllm_dflash,32.0,8,3,27B
Reported cache tokens,sglang_baseline,2140480.0,8,3,27B
128K seq equivalents (est.),sglang_baseline,16.33,8,3,27B
Configured request limit,sglang_baseline,32.0,8,3,27B
Reported cache tokens,sglang_dflash,1300975.0,8,3,27B
128K seq equivalents (est.),sglang_dflash,9.93,8,3,27B
Configured request limit,sglang_dflash,32.0,8,3,27B
Reported cache tokens,pr2_dflash,1436938.0,8,3,27B
128K seq equivalents (est.),pr2_dflash,10.96,8,3,27B
Configured request limit,pr2_dflash,32.0,8,3,27B
Reported cache tokens,vllm_baseline,5035701.0,8,3,4B
128K seq equivalents (est.),vllm_baseline,38.42,8,3,4B
Configured request limit,vllm_baseline,32.0,8,3,4B
Reported cache tokens,vllm_dflash,3390080.0,8,3,4B
128K seq equivalents (est.),vllm_dflash,25.86,8,3,4B
Configured request limit,vllm_dflash,32.0,8,3,4B
Reported cache tokens,sglang_baseline,5128384.0,8,3,4B
128K seq equivalents (est.),sglang_baseline,39.13,8,3,4B
Configured request limit,sglang_baseline,32.0,8,3,4B
Reported cache tokens,sglang_dflash,2795991.0,8,3,4B
128K seq equivalents (est.),sglang_dflash,21.33,8,3,4B
Configured request limit,sglang_dflash,32.0,8,3,4B
Reported cache tokens,pr2_dflash,3390281.0,8,3,4B
128K seq equivalents (est.),pr2_dflash,25.87,8,3,4B
Configured request limit,pr2_dflash,32.0,8,3,4B
Reported cache tokens,vllm_baseline,6380032.0,8,3,35B-A3B
128K seq equivalents (est.),vllm_baseline,48.68,8,3,35B-A3B
Configured request limit,vllm_baseline,32.0,8,3,35B-A3B
Reported cache tokens,vllm_dflash,2856503.0,8,3,35B-A3B
128K seq equivalents (est.),vllm_dflash,21.79,8,3,35B-A3B
Configured request limit,vllm_dflash,32.0,8,3,35B-A3B
Reported cache tokens,sglang_baseline,6697728.0,8,3,35B-A3B
128K seq equivalents (est.),sglang_baseline,51.1,8,3,35B-A3B
Configured request limit,sglang_baseline,32.0,8,3,35B-A3B
Reported cache tokens,sglang_dflash,2841513.0,8,3,35B-A3B
128K seq equivalents (est.),sglang_dflash,21.68,8,3,35B-A3B
Configured request limit,sglang_dflash,32.0,8,3,35B-A3B
Reported cache tokens,pr2_dflash,2856805.0,8,3,35B-A3B
128K seq equivalents (est.),pr2_dflash,21.8,8,3,35B-A3B
Configured request limit,pr2_dflash,32.0,8,3,35B-A3B
Reported cache tokens,vllm_baseline,2134931.0,16,1,27B
128K seq equivalents (est.),vllm_baseline,16.29,16,1,27B
Configured request limit,vllm_baseline,32.0,16,1,27B
