block,model,variant,concurrency,metric,statistic,unit,mean,std,n,minimum,maximum,original,rerun_mean,rerun_std,rerun_n,change_pct,cv_pct
8,27B,pr2_dflash,1,acceptance_length,avg,tokens,5.654847887940467,0.0,3,5.654847887940468,5.654847887940468,5.654847887940468,5.654847887940468,0.0,2,0.0,0.0
8,27B,pr2_dflash,1,inter_chunk_latency,p99,ms,12.869714253333326,0.6422773405381409,3,12.185067039999998,13.458946399999986,13.458946399999986,12.575098179999994,0.5515873279358344,2,-6.566994129644444,4.9906107307066865
8,27B,pr2_dflash,1,inter_token_latency,p90,ms,2.265009585620916,0.053543894108291294,3,2.2200237823529423,2.3242333560784316,2.3242333560784316,2.235397700392158,0.021742003397871107,2,-3.8221487293411016,2.363958830382305
8,27B,pr2_dflash,1,inter_token_latency,p99,ms,2.8379128846143797,0.07757956920173263,3,2.773466085568628,2.924020856392158,2.924020856392158,2.794858898725491,0.0302540065037485,2,-4.4172721061242814,2.7336839556396133
8,27B,pr2_dflash,1,interactivity,derived,tokens/s/user,352.54546185204435,9.538786217222592,3,341.9948246312659,360.5596640259532,341.9948246312659,357.8207804624336,3.873366281290121,2,4.627542492267556,2.7056896909442596
8,27B,pr2_dflash,1,interactivity,derived_p90,tokens/s/user,441.66236673223943,10.351736199776422,3,430.24939702580144,450.4456249293543,430.24939702580144,447.3688515854584,4.351214591285633,2,3.9789607325423804,2.3438121469045665
8,27B,pr2_dflash,1,output_token_throughput,avg,tokens/s,446.9546670709853,5.416341392024791,3,441.3564216274722,452.1686376224404,441.3564216274722,449.7537897927419,3.415110551826835,2,1.9026273899686252,1.2118323828050706
8,27B,pr2_dflash,1,time_to_first_token,p99,ms,72.66163469666672,4.779423641190731,3,67.24032289000002,76.26667534000015,74.47790586,71.75349911500008,6.382595026774901,2,-3.6580066444418247,6.57764398109527
8,27B,pr2_dflash,2,acceptance_length,avg,tokens,5.683638101495428,0.03708323952146201,3,5.641921397379913,5.712860310421286,5.641921397379913,5.704496453553185,0.01182827981661616,2,1.1091089677770283,0.6524560300858178
8,27B,pr2_dflash,2,inter_chunk_latency,p99,ms,61.83500138666667,1.8287666389506474,3,60.31152425999999,63.86309318000001,63.86309318000001,60.82095548999999,0.7204445545624109,2,-4.763530136922222,2.957494296013681
8,27B,pr2_dflash,2,inter_token_latency,p90,ms,2.4748012499346403,0.060717344179345205,3,2.4209361384313723,2.540599062745098,2.540599062745098,2.441902343529412,0.02965069160114289,2,-3.884781375501456,2.453423044818195
8,27B,pr2_dflash,2,inter_token_latency,p99,ms,2.5840460205359475,0.17378635420253866,3,2.4649556834117643,2.783465474117647,2.783465474117647,2.4843362937450975,0.027408321980468376,2,-10.746645976177337,6.725358326493515
8,27B,pr2_dflash,2,interactivity,derived,tokens/s/user,388.1191219207463,25.18548467158253,3,359.2643807866875,405.6868067566603,359.2643807866875,402.5464924877757,4.441075029170344,2,12.047426356688229,6.4891120403816105
8,27B,pr2_dflash,2,interactivity,derived_p90,tokens/s/user,404.2339700436085,9.851347840631806,3,393.60795438517863,413.0633535207346,393.60795438517863,409.5469778728235,4.972906131674303,2,4.049466813378277,2.437041063018293
