variant,configuration,concurrency,latency_p50_ms,throughput_tokens_s,tpot_p99_ms,interactivity_tokens_s,pareto_optimal
vllm_baseline,vLLM baseline,1,1055.577581,241.61952087402827,4.016372647098039,248.9808809754077,False
vllm_baseline,vLLM baseline,2,1188.1595774999998,429.5216332144742,4.42834039662745,225.818232212136,False
vllm_baseline,vLLM baseline,4,1263.859095,807.5075631488006,4.736853658040913,211.11059622930887,False
vllm_baseline,vLLM baseline,8,1436.54875,1406.2566755832231,5.387574599921568,185.61227904195664,False
vllm_baseline,vLLM baseline,16,1765.130676,2309.300222049266,6.517877991607842,153.42416677445632,False
vllm_baseline,vLLM baseline,32,2090.1132755,3914.7302291194364,7.9111013219999995,126.40465079357507,False
vllm_dflash,vLLM + DFlash,1,501.646194,499.98661442085705,2.462876666039216,406.0292639859203,False
vllm_dflash,vLLM + DFlash,2,594.290137,840.4350490298177,2.7918372342745097,358.18707040772784,False
vllm_dflash,vLLM + DFlash,4,677.6946975,1452.7592083404184,3.4204210710588225,292.36166519417475,False
vllm_dflash,vLLM + DFlash,8,911.6041899999999,2168.556107490486,5.171251338980391,193.37679305240823,False
vllm_dflash,vLLM + DFlash,16,1295.750348,3055.0764137911065,6.787893882588236,147.32110096257108,False
vllm_dflash,vLLM + DFlash,32,1707.8149005,4644.50703684482,9.40861448227451,106.28557497854375,False
sglang_baseline,SGLang baseline,1,849.8268684999999,300.0432848935912,3.251159670901961,307.58255552627855,False
sglang_baseline,SGLang baseline,2,932.594017,546.3458506217853,3.4818146645490193,287.2065564493579,False
sglang_baseline,SGLang baseline,4,1023.234476,998.0012243564205,3.849682131333333,259.7617065213774,False
sglang_baseline,SGLang baseline,8,1259.216313,1616.6167094166103,4.85637231862745,205.91501935803566,False
sglang_baseline,SGLang baseline,16,1499.712474,2723.7064625254297,5.716827666509804,174.92218732745405,False
sglang_baseline,SGLang baseline,32,1915.2019515,4152.306152653149,7.351831809764707,136.02052194281697,False
sglang_dflash,SGLang + DFlash,1,309.08777599999996,794.9592627839646,1.619923217803922,617.3132090517648,True
sglang_dflash,SGLang + DFlash,2,395.942844,1272.138712601894,1.816830902745098,550.4089557751762,True
sglang_dflash,SGLang + DFlash,4,517.7623464999999,1901.1182581444782,2.799686343098038,357.1828688828885,True
sglang_dflash,SGLang + DFlash,8,703.7948134999999,2832.1833182671985,3.9323403803921564,254.3014854426905,True
sglang_dflash,SGLang + DFlash,16,971.0588465,4061.704881914162,5.657837335411765,176.7459791997046,True
sglang_dflash,SGLang + DFlash,32,1048.7490105,7459.874994699097,5.924726426392157,168.7841645388759,True
pr2_dflash,vLLM + DFlash PR 52297,1,367.4427735,681.9838045760677,1.7397902358431376,574.7819360047044,False
pr2_dflash,vLLM + DFlash PR 52297,2,456.3011405,1093.9328409692816,2.1857588423137253,457.507013418486,False
pr2_dflash,vLLM + DFlash PR 52297,4,562.856955,1733.8365606118214,2.8475729599215676,351.1762522241199,False
pr2_dflash,vLLM + DFlash PR 52297,8,752.459037,2644.0549077440355,3.805823769137255,262.75520377726025,True
pr2_dflash,vLLM + DFlash PR 52297,16,983.8562404999999,3981.24832602222,5.615457373019607,178.079884428411,True
pr2_dflash,vLLM + DFlash PR 52297,32,1449.448797,5489.47338506618,8.417910546078437,118.7943248536728,False
